bank,quarter,call_type,call_date,position_in_call,section,speaker_role,speaker_name,speaker_institution,text_length,text,utterance_id,is_routine_earnings,new_exchange,qa_exchange_id,is_filler
JPM,2023-Q1,earnings,2023-04-14,4,qa,analyst,Steven Chubak,Wolfe Research,18,"Hey, good morning.",3,True,True,1,True
JPM,2023-Q1,earnings,2023-04-14,5,qa,management,Jeremy Barnum,,20,"Good morning, Steve.",4,True,False,1,True
JPM,2023-Q1,earnings,2023-04-14,6,qa,analyst,Steven Chubak,Wolfe Research,628,"So, Jamie, I was actually hoping to get your perspective on how you see the recent developments with SVB impacting the regulatory landscape for the big banks. In your letter you spent a fair amount of time highlighting the consequences of overly stringent capital requirements, the risk of steering more activities to the less regulated nonbanks. But what are some of the changes that you're scenario planning for – whether it's higher capital, increase in FDIC assessment fees? And along those same lines, how you're thinking about the buyback given continued strong capital build, but a lot of macro uncertainty at the moment.",5,True,True,2,False
JPM,2023-Q1,earnings,2023-04-14,7,qa,management,Jamie Dimon,,981,"Well, I think you were already kind of complete with answering your own question there. Look, we're hoping that everyone just takes a deep breath and looks at what happened and the breadth and depth of regulations already in place. Obviously, when something happens like this, you should adjust, think about it. So I think down the road there may be some limitations on held-to-maturity, maybe more TLAC for certain type-size banks, and more scrutiny on interest rate exposure, and stuff like that. But it doesn't have to be a revamp of the whole system, just recalibrating things the right way. And I think it should be done knowing what you want the outcome to be. The outcome you should want is very strong community and regional banks. And certain actions are taken which are drastic – it could actually make them weaker. So, that's all it is. We do expect higher capital from Basel IV, effectively and, obviously there's going to be an FDIC assessment – that'll be what it is.",6,True,False,2,False
JPM,2023-Q1,earnings,2023-04-14,8,qa,analyst,Steven Chubak,Wolfe Research,80,"Got it. And just in terms of appetite for the buyback, just given some of the...",7,True,True,3,False
JPM,2023-Q1,earnings,2023-04-14,9,qa,management,Jamie Dimon,,9,"Oh, yeah.",8,True,False,3,False
JPM,2023-Q1,earnings,2023-04-14,10,qa,analyst,Steven Chubak,Wolfe Research,32,...elevated macro uncertainties.,9,True,True,4,False
JPM,2023-Q1,earnings,2023-04-14,11,qa,management,Jamie Dimon,,340,"Well, we've told you that we're kind of penciling in $12 billion for this year. Obviously, capital is more than that, but – and we did a little bit of buyback this quarter. We're going to wait and see. We don't mind keeping our powder dry, and you've seen us do that with investment portfolios, and we're also going to do that with capital.",10,True,False,4,False
JPM,2023-Q1,earnings,2023-04-14,12,qa,analyst,Steven Chubak,Wolfe Research,83,That's great. I'll hop back into the queue. Thanks so much for taking my questions.,11,True,True,5,False
JPM,2023-Q1,earnings,2023-04-14,13,qa,management,Jamie Dimon,,5,Okay.,12,True,False,5,False
