bank,quarter,call_type,call_date,position_in_call,section,speaker_role,speaker_name,speaker_institution,sentence_id,sentence_number,sentence,utterance_id,sentence_raw
JPM,2023-Q1,earnings,2023-04-14,1,prepared,operator,Operator,,9789,1,"Good morning, ladies and gentlemen.",0,"Good morning, ladies and gentlemen."
JPM,2023-Q1,earnings,2023-04-14,1,prepared,operator,Operator,,9790,2,Welcome to JPMorgan Chase’s First Quarter 2023 Earnings Call.,0,Welcome to JPMorgan Chase’s First Quarter 2023 Earnings Call.
JPM,2023-Q1,earnings,2023-04-14,1,prepared,operator,Operator,,9791,3,This call is being recorded.,0,This call is being recorded.
JPM,2023-Q1,earnings,2023-04-14,1,prepared,operator,Operator,,9792,4,Your line will be muted for the duration of the call.,0,Your line will be muted for the duration of the call.
JPM,2023-Q1,earnings,2023-04-14,1,prepared,operator,Operator,,9793,5,We will now go live to the presentation.,0,We will now go live to the presentation.
JPM,2023-Q1,earnings,2023-04-14,1,prepared,operator,Operator,,9794,6,Please stand by.,0,Please stand by.
JPM,2023-Q1,earnings,2023-04-14,1,prepared,operator,Operator,,9795,7,"At this time, I would like to turn the call over to JPMorgan Chase's Chairman and CEO, Jamie Dimon, and Chief Financial Officer, Jeremy Barnum.",0,"At this time, I would like to turn the call over to JPMorgan Chase's Chairman and CEO, Jamie Dimon, and Chief Financial Officer, Jeremy Barnum."
JPM,2023-Q1,earnings,2023-04-14,1,prepared,operator,Operator,,9796,8,"Mr. Barnum, please go ahead.",0,"Mr. Barnum, please go ahead."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9797,1,"Thanks, and good morning, everyone.",1,"Thanks, and good morning, everyone."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9798,2,"The presentation is available on our website, and please refer to the disclaimer on the back.",1,"The presentation is available on our website, and please refer to the disclaimer on the back."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9799,3,"Starting on page 1, the Firm reported net income of $12.6 billion, EPS of $4.10 on revenue of $39.3 billion and delivered an ROTCE of 23%.",1,"Starting on page 1, the Firm reported net income of $12.6 billion, EPS of $4.10 on revenue of $39.3 billion and delivered an ROTCE of 23%."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9800,4,These results included $868 million of net investment securities losses in Corporate.,1,These results included $868 million of net investment securities losses in Corporate.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9801,5,"Before reviewing our results for the quarter, let's talk about the recent bank failures.",1,"Before reviewing our results for the quarter, let's talk about the recent bank failures."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9802,6,Jamie has addressed a number of the important themes in his shareholder letter and a recent televised interview so I will go straight to the specific impacts on the firm.,1,Jamie has addressed a number of the important themes in his shareholder letter and a recent televised interview so I will go straight to the specific impacts on the firm.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9803,7,"As you would expect, we saw significant new account opening activity and meaningful deposit and money market fund inflows, most significantly in the Commercial Bank, Business Banking and AWM.",1,"As you would expect, we saw significant new account opening activity and meaningful deposit and money market fund inflows, most significantly in the Commercial Bank, Business Banking and AWM."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9804,8,"Regarding the deposit inflows, at the Firmwide level, average deposits were down 3% quarter-on-quarter while end-of-period deposits were up 2% quarter-on-quarter – implying an intra-quarter reversal of the recent outflow trend as a consequence of the March events.",1,"Regarding the deposit inflows, at the Firmwide level, average deposits were down 3% quarter-on-quarter while end-of-period deposits were up 2% quarter-on-quarter – implying an intra-quarter reversal of the recent outflow trend as a consequence of the March events."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9805,9,We estimate that we have retained approximately $50 billion of these deposit inflows at quarter-end.,1,We estimate that we have retained approximately $50 billion of these deposit inflows at quarter-end.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9806,10,"It's important to note that while the sequential period-end deposit increase is higher than we would have otherwise expected, our current full year NII outlook – which I will address at the end – still assumes modest deposit outflows from here.",1,"It's important to note that while the sequential period-end deposit increase is higher than we would have otherwise expected, our current full year NII outlook – which I will address at the end – still assumes modest deposit outflows from here."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9807,11,"We expect these outflows to be driven by the same factors as last quarter, as well as the expectation that we will not retain all of this quarter's inflows.",1,"We expect these outflows to be driven by the same factors as last quarter, as well as the expectation that we will not retain all of this quarter's inflows."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9808,12,"Now back to the quarter, touching on a few highlights.",1,"Now back to the quarter, touching on a few highlights."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9809,13,"We grew our IB fee wallet share, consumer spending remains solid with combined debit and credit card spend up 10% year-on-year, and credit continues to normalize, but actual performance remains strong across the company.",1,"We grew our IB fee wallet share, consumer spending remains solid with combined debit and credit card spend up 10% year-on-year, and credit continues to normalize, but actual performance remains strong across the company."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9810,14,"On page 2, we have some more detail.",1,"On page 2, we have some more detail."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9811,15,Revenue of $39.3 billion was up $7.7 billion or 25% year-on-year.,1,Revenue of $39.3 billion was up $7.7 billion or 25% year-on-year.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9812,16,NII ex.,1,NII ex.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9813,17,"Markets was up $9.2 billion or 78%, driven by higher rates, partially offset by lower deposit balances.",1,"Markets was up $9.2 billion or 78%, driven by higher rates, partially offset by lower deposit balances."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9814,18,NIR ex.,1,NIR ex.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9815,19,"Markets was down $1.1 billion or 10%, driven by the securities losses previously mentioned as well as lower IB fees and lower auto lease income on lower volume, and Markets revenue was down $371 million or 4% year-on-year.",1,"Markets was down $1.1 billion or 10%, driven by the securities losses previously mentioned as well as lower IB fees and lower auto lease income on lower volume, and Markets revenue was down $371 million or 4% year-on-year."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9816,20,"Expenses of $20.1 billion were up $916 million or 5% year-on-year, driven by compensation-related costs reflecting the annualization of last year's headcount growth and wage inflation.",1,"Expenses of $20.1 billion were up $916 million or 5% year-on-year, driven by compensation-related costs reflecting the annualization of last year's headcount growth and wage inflation."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9817,21,"These results include the impact of the higher FDIC assessment I mentioned last quarter which, of course, is unrelated to recent events.",1,"These results include the impact of the higher FDIC assessment I mentioned last quarter which, of course, is unrelated to recent events."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9818,22,"And credit costs of $2.3 billion included net charge-offs of $1.1 billion, predominantly in Card.",1,"And credit costs of $2.3 billion included net charge-offs of $1.1 billion, predominantly in Card."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9819,23,The net reserve build of $1.1 billion was largely driven by deterioration in our weighted-average economic outlook.,1,The net reserve build of $1.1 billion was largely driven by deterioration in our weighted-average economic outlook.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9820,24,On to balance sheet and capital on page 3.,1,On to balance sheet and capital on page 3.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9821,25,"We ended the quarter with a CET1 ratio of 13.8%, up about 60 basis points, which was primarily driven by the benefit of net income less distributions and AOCI gains.",1,"We ended the quarter with a CET1 ratio of 13.8%, up about 60 basis points, which was primarily driven by the benefit of net income less distributions and AOCI gains."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9822,26,"And in line with what we previously said, we resumed stock buybacks this quarter and distributed a total of $1.9 billion in net repurchases back to shareholders.",1,"And in line with what we previously said, we resumed stock buybacks this quarter and distributed a total of $1.9 billion in net repurchases back to shareholders."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9823,27,"Now, let's go to our businesses starting with CCB on page 4.",1,"Now, let's go to our businesses starting with CCB on page 4."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9824,28,Touching quickly on the health of U.S. consumers and small businesses based on our data.,1,Touching quickly on the health of U.S. consumers and small businesses based on our data.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9825,29,"Both continue to show resilience and remain on the path to normalization, as expected, but we continue to monitor their activity closely.",1,"Both continue to show resilience and remain on the path to normalization, as expected, but we continue to monitor their activity closely."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9826,30,Spend remains solid and we have not observed any notable pullback throughout the quarter.,1,Spend remains solid and we have not observed any notable pullback throughout the quarter.
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9827,31,"Moving to financial results, CCB reported net income of $5.2 billion, on revenue of $16.5 billion, which was up 35% year-on-year.",1,"Moving to financial results, CCB reported net income of $5.2 billion, on revenue of $16.5 billion, which was up 35% year-on-year."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9828,32,"In Banking and Wealth Management, revenue was up 67% year-on-year, driven by higher NII on higher rates.",1,"In Banking and Wealth Management, revenue was up 67% year-on-year, driven by higher NII on higher rates."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9829,33,"Average deposits were down 2% quarter- on-quarter, in line with recent trends.",1,"Average deposits were down 2% quarter- on-quarter, in line with recent trends."
JPM,2023-Q1,earnings,2023-04-14,2,prepared,management,Jeremy Barnum,,9830,34,"Throughout the quarter, we continued to see customer flows to higher yielding products as you would expect, but we're encouraged by what we are capturing in CDs and our wealth management offerings.",1,"Throughout the quarter, we continued to see customer flows to higher yielding products as you would expect, but we're encouraged by what we are capturing in CDs and our wealth management offerings."
